meta,Constituency name,Lab 2001,Con 2001,LD 2001,SNP 2001,PC 2001,2001 winner,2001 votes,2001 turnout,Lab 2005,Con 2005,LD 2005,SNP 2005,PC 2005,2005 winner,2005 votes,2005 turnout
47,Blackpool North & Fleetwood,21610,15889,4132,,,0,42581,57.2,20620,15558,5533,,,0,43290,57.7
48,Blackpool South,21060,12798,4115,,,0,38792,52.2,19375,11453,5552,,,0,38342,52.1
532,Blaenau Gwent,22855,2383,2945,,3542,0,31725,59.5,11384,816,1511,,843,5,35251,66.1
49,Blaydon,20340,4215,12531,,,0,37086,57.4,20120,3129,14785,,,0,39053,62.6
50,Blyth Valley,20627,5484,8439,,,0,34550,54.6,19659,4982,11132,,,0,35773,56.2
51,Bognor Regis & Littlehampton,11959,17602,6846,,,1,38968,58.2,10361,18183,8927,,,1,40747,62.1
52,Bolsover,26249,7472,4550,,,0,38271,56.7,25217,6702,6780,,,0,38699,57.3
53,Bolton North East,21166,12744,4004,,,0,38950,56,16874,12771,6044,,,0,36911,54.8
54,Bolton South East,21129,8258,3941,,,0,34154,50.1,18129,6491,6047,,,0,31850,50
55,Bolton West,19381,13863,7573,,,0,41214,62.4,17239,15175,7241,,,0,40543,63.5
56,Bootle,21400,2194,2357,,,0,27594,49,19345,1580,2988,,,0,25622,47.7
57,Boston & Skegness,16783,17298,4994,,,1,40313,58.4,13422,19329,3649,,,1,41869,58.8
58,Bosworth,17750,20030,7326,,,1,45106,64.4,14893,20212,10528,,,1,47499,66.3
59,Bournemouth East,7107,15501,12067,,,1,35799,59.2,7191,16925,11681,,,1,37599,59.3
60,Bournemouth West,9699,14417,8468,,,1,33648,54.2,7824,14057,10026,,,1,33924,53.3
61,Bracknell,16249,22962,8424,,,1,49225,60.7,13376,25412,10128,,,1,51141,63.4
62,Bradford North,17419,8450,6924,,,0,35017,52.7,14622,5569,11111,,,0,34397,53.3
63,Bradford South,19603,9941,3717,,,0,35137,51.3,17954,8787,5334,,,0,36605,54.2
64,Bradford West,18401,14236,2437,,,0,38370,53.6,14570,11544,6620,,,0,36369,54
65,Braintree,21123,20765,5664,,,0,50315,63.6,19704,23597,7037,,,1,53055,65.9
533,Brecon & Radnorshire,8024,13073,13824,,1301,2,37516,71.8,5755,13277,17182,,1404,2,38341,69.5
66,Brent East,18325,5278,3065,,,0,28992,49.1,12052,3193,14764,,,2,31068,55.3
67,Brent North,20149,9944,3846,,,0,33939,57.7,17420,11779,5672,,,0,35682,59.3
68,Brent South,20984,3604,3098,,,0,28637,51.2,17501,4485,6175,,,0,29764,52.7
69,Brentford & Isleworth,23275,12957,5994,,,0,44514,53,18329,13918,10477,,,0,46017,54.5
70,Brentwood & Ongar,5505,16558,6772,,,1,43542,67.3,6579,23609,11997,,,1,44145,68.4
534,Bridgend,19422,9377,5330,,2652,0,37004,60.2,16410,9887,7949,,2527,0,37859,59.2
71,Bridgwater,12803,19354,14367,,,1,47847,64.6,12771,21240,10940,,,1,48109,63.5
72,Brigg & Goole,20066,16105,3796,,,0,41054,64.6,19257,16363,5690,,,0,42578,63.2
73,Brighton Kemptown,18745,13823,4064,,,0,39203,58,15858,13121,6560,,,0,39719,60.2
74,Brighton Pavilion,19846,10203,5348,,,0,40723,58.8,15427,10397,7171,,,0,43578,64
75,Bristol East,22180,8788,6915,,,0,40334,57.4,19152,8787,10531,,,0,41720,61.3
76,Bristol North West,24436,13349,7387,,,0,46692,60.8,22192,13230,9545,,,0,47492,61.1
77,Bristol South,23299,9118,6078,,,0,40970,56.5,20778,8466,9636,,,0,42328,59.8
78,Bristol West,20505,16040,16079,,,0,55665,65.6,16859,15429,21987,,,2,57396,70.5
79,Bromley & Chislehurst,12375,21412,8180,,,1,43231,62.9,10241,23583,9368,,,1,46137,64.8
80,Bromsgrove,15502,23640,5430,,,1,45684,67.1,14307,24387,7197,,,1,47810,67.6
81,Broxbourne,11494,20487,4158,,,1,37845,54.9,10369,21878,4973,,,1,40628,59.7
82,Broxtowe,23836,17963,7205,,,0,49004,66.5,20457,18161,7837,,,0,48806,68.6
83,Buckingham,10971,24296,9037,,,1,45272,69.4,9619,27748,9508,,,1,48307,68.7
84,Burnley,18195,7697,5975,,,0,36884,55.6,14999,4206,9221,,,0,38983,59.2
85,Burton,22783,17934,4468,,,0,46457,61.8,19701,18280,6236,,,0,47882,61
86,Bury North,22945,16413,5430,,,0,44788,63,19130,16204,6514,,,0,44439,61.5
87,Bury South,23406,10634,5499,,,0,39539,58.8,19741,10829,6968,,,0,39154,58.5
88,Bury St Edmunds,19347,21850,6998,,,1,50257,66,14402,24332,10423,,,1,52619,66.1
535,Caernarfon,9383,4403,1823,,12894,4,29053,61.4,7538,3483,3508,,12747,4,27999,60.4
536,Caerphilly,22597,4413,3649,,8172,0,38831,57.4,22190,5711,3861,,6831,0,39229,58.6
668,Caithness Sutherland & Easter Ross,,,,,,,,,5789,2835,13957,3686,,2,27663,59.1
596,Caithness Sutherland & Easter Ross,6297,3513,9041,5273,,2,24867,60.3,,,,,,,,
89,Calder Valley,20244,17150,7596,,,0,47425,63,18426,17059,9027,,,0,47770,67
90,Camberwell & Peckham,17473,2740,3350,,,0,25104,46.8,18933,2841,5450,,,0,28991,52
91,Cambridge,19316,9829,10737,,,0,42836,60.6,14813,7193,19152,,,2,43569,62.1
92,Cambridgeshire North East,16759,23132,6733,,,1,48051,60.1,15280,24181,8693,,,1,50877,59.8
93,Cambridgeshire North West,13794,21895,6957,,,1,43956,62.3,12671,22504,11232,,,1,49092,61.6
94,Cambridgeshire South,11737,21387,12984,,,1,48341,67.1,10189,23676,15675,,,1,52648,68.4
95,Cambridgeshire South East,13714,22927,13937,,,1,51886,63.5,11936,26374,17750,,,1,56060,65.3
96,Cannock Chase,23049,12345,5670,,,0,41064,55.9,22139,12912,5934,,,0,43155,57.4
97,Canterbury,16642,18711,8056,,,1,45132,60.9,13642,21113,10059,,,1,47587,66.1
537,Cardiff Central,13451,5537,12792,,1680,0,34842,58.3,12398,3339,17991,,1271,2,36132,59.2
538,Cardiff North,19845,13680,6631,,2471,0,43240,69,17707,16561,8483,,1936,0,45360,70.5
539,Cardiff South & Penarth,20094,7807,4572,,1983,0,35751,57.5,17447,8210,7529,,2023,0,36912,56.2
540,Cardiff West,18594,7273,4458,,3296,0,34083,58.4,15729,7562,6060,,4316,0,34561,57.7
98,Carlisle,17856,12154,4076,,,0,34909,59.4,17019,11324,5916,,,0,35394,59.5
541,Carmarthen East & Dinefwr,13540,4912,2815,,16130,4,38053,70.4,10843,5235,3719,,17561,4,38291,71.6
542,Carmarthen West & Pembrokeshire South,15349,10811,3248,,6893,0,36916,65.3,13953,12043,5399,,5582,0,37863,67.3
597,Carrick Cumnock & Doon Valley,22174,7318,2932,6258,,0,40107,61.8,,,,,,,,
99,Carshalton & Wallington,7466,13742,18289,,,2,40612,60.3,7396,16289,17357,,,2,43061,63.5
100,Castle Point,16753,17738,3116,,,1,39763,58.4,13917,22118,4719,,,1,45802,65.9
669,Central Ayrshire,,,,,,,,,19905,9482,6881,4969,,0,42871,62.5
543,Ceredigion,5338,6730,9297,,13241,4,34606,61.7,4337,4455,13130,,12911,2,35947,67.2
101,Charnwood,15544,23283,7835,,,1,48265,64.5,14762,23571,9057,,,1,50616,66.4
102,Chatham & Aylesford,19180,14840,4705,,,0,39735,57,18387,16055,5744,,,0,42080,59.7
103,Cheadle,6086,18444,18477,,,2,43606,63.2,4169,19169,23189,,,2,47437,69.6
104,Chelmsford West,14185,20446,11197,,,1,48143,61.5,13236,22946,13326,,,1,51052,61.9
105,Cheltenham,5041,14715,19970,,,2,41835,61.9,4988,15819,18122,,,2,43621,61
106,Chesham & Amersham,8497,22867,10985,,,1,45283,64.7,6610,25619,11821,,,1,47097,68
107,Chesterfield,18663,3613,21249,,,2,44441,60.7,17830,3605,20875,,,2,44121,59.6
108,Chichester,10627,23320,11965,,,1,49584,63.8,9632,25302,14442,,,1,52401,66.6
109,Chingford & Woodford Green,12347,17834,5739,,,1,36982,58.5,9914,20555,6832,,,1,38648,63
110,Chipping Barnet,17001,19702,5753,,,1,42456,60.5,13784,19744,6671,,,1,42381,64.1
111,Chorley,25088,16644,5372,,,0,47952,62.2,25131,17506,6932,,,0,49569,62.9
112,Christchurch,7506,27306,13762,,,1,49567,67.4,8051,28208,12649,,,1,51565,69.6
113,Cities of London & Westminster,11238,15737,5218,,,1,33975,47.2,9165,17260,7306,,,1,36487,50.3
114,City of Chester,21760,14866,6589,,,0,44877,63.8,17459,16542,9818,,,0,44903,64.3
115,City of Durham,23254,7167,9813,,,0,41486,59.6,20928,4179,17654,,,0,44364,62.1
116,City of York,25072,11293,8519,,,0,47980,59.7,21836,11364,10166,,,0,46597,61.7
117,Cleethorpes,21032,15412,5080,,,0,42418,62,18889,16247,6437,,,0,43589,61.6
544,Clwyd South,17217,8319,3426,,3982,0,33496,62.4,14808,8460,5105,,3111,0,32931,62.9
545,Clwyd West,13426,12311,3934,,4453,0,34600,64.1,12776,12909,4723,,3874,1,35614,64
598,Clydebank & Milngavie,17249,3514,3909,6525,,0,32491,61.8,,,,,,,,
599,Clydesdale,17822,5034,4111,10028,,0,38222,59.3,,,,,,,,
600,Coatbridge & Chryston,19807,2171,2293,4493,,0,30311,58.1,,,,,,,,
670,Coatbridge Chryston & Bellshill,,,,,,,,,24725,2775,4605,5206,,0,38344,56.9
118,Colchester,10925,13074,18627,,,2,43736,55.4,8886,14868,21145,,,2,44899,56.8
119,Colne Valley,18967,14328,11694,,,0,46987,63.3,17536,16035,11822,,,0,48920,66
120,Congleton,13738,20872,9719,,,1,45083,62.7,12943,21189,12550,,,1,46682,64.2
546,Conwy,14366,8147,5800,,5665,0,34366,62.8,12479,9398,6723,,3730,0,33657,62.3
121,Copeland,17991,13027,3732,,,0,34750,64.9,17033,10713,3880,,,0,33757,62.3
122,Corby,23283,17583,4751,,,0,47222,65.3,20913,19396,6184,,,0,48527,66.5
123,Cornwall North,5257,18250,28082,,,2,53983,63.8,6636,20766,23842,,,2,55982,64.5
124,Cornwall South East,6429,18381,23756,,,2,51753,65.4,6069,18479,24986,,,2,53455,66.2
125,Cotswold,10383,23133,11150,,,1,45981,67.5,8457,23326,13638,,,1,47351,66.7
126,Coventry North East,22739,6988,4163,,,0,37265,50.4,21178,6956,6123,,,0,37195,53
127,Coventry North West,21892,11018,5832,,,0,42551,55.5,20942,11627,7932,,,0,43438,59.4
128,Coventry South,20125,11846,5672,,,0,40096,55.3,18649,12394,7228,,,0,40685,59.1
129,Crawley,19488,12718,5009,,,0,39522,55.2,16411,16374,6503,,,0,41973,58.4
130,Crewe & Nantwich,22556,12650,5595,,,0,41547,60.2,21240,14162,8083,,,0,43485,60
131,Crosby,20327,11974,4084,,,0,36866,64.3,17463,11623,6298,,,0,36194,66.7
132,Croydon Central,21643,17659,5156,,,0,45860,59.1,19899,19974,6384,,,1,48957,60.6
133,Croydon North,26610,9752,4375,,,0,41882,54.7,23555,9667,7560,,,0,43847,52.3
134,Croydon South,13472,22169,8226,,,1,45060,61.4,11792,25320,10049,,,1,48897,63.6
601,Cumbernauld & Kilsyth,16144,1460,1934,8624,,0,29699,59.7,,,,,,,,
671,Cumbernauld Kilsyth & Kirkintilloch East,,,,,,,,,20251,2718,5817,8689,,0,39088,60.4
602,Cunninghame North,15571,6666,3060,7173,,0,33816,61.5,,,,,,,,
603,Cunninghame South,16424,2682,2094,5194,,0,28009,56,,,,,,,,
547,Cynon Valley,17685,2045,2541,,4687,0,26958,55.5,17074,2062,2991,,3815,0,26647,58.7
135,Dagenham,15784,7091,2820,,,0,27580,46.5,15446,7841,3106,,,0,30841,51.3
136,Darlington,22479,12950,4358,,,0,40754,63.4,20643,10239,7269,,,0,39388,60.3
137,Dartford,21466,18160,3781,,,0,44740,61.9,19909,19203,5036,,,0,46779,63.2
138,Daventry,18262,27911,9130,,,1,56684,65.5,16520,31206,9964,,,1,60439,68.1
548,Delyn,17825,9220,5329,,2262,0,34636,63.3,15540,8896,6089,,2524,0,34004,64.4
139,Denton & Reddish,21913,6583,4152,,,0,33593,48.5,20340,6842,5814,,,0,35442,51.9
140,Derby North,22415,15433,6206,,,0,44054,57.6,19272,15515,7209,,,0,43818,64.3
141,Derby South,24310,10455,8310,,,0,43075,55.7,19683,8211,14026,,,0,43373,61.6
142,Derbyshire North East,23437,11179,7508,,,0,42124,58.9,21416,11351,8812,,,0,43434,61.2
143,Derbyshire West,16910,24280,7922,,,1,50589,67.4,13625,24378,11408,,,1,51143,69.2
144,Devizes,13263,25159,11756,,,1,53249,63.7,12519,27253,14059,,,1,56146,65.2
